Latitude,Longitude,School Name,Ground-truthed
6.542631152,-7.485570353,EPP GUIGLO 4,TRUE
6.542432534,-7.485679457,EPP GUIGLO 1,TRUE
6.545975328,-7.487992637,EPC SAINT JOSEPHE 1,TRUE
6.551182515,-7.493474708,EPP SEAYORO 1,TRUE
6.55122811,-7.493601164,EPP SEAYERO 2,TRUE
6.547181648,-7.501263084,EPC SAINT JOSEPHE 2,TRUE
6.548215877,-7.505410433,EPP NAZARETH 1,TRUE
6.54851497,-7.505635602,EPP NAZARETH 2,TRUE
6.548458989,-7.505057058,EPP NAZARETH 3,TRUE
6.544641434,-7.516805329,EPP EXCELLENCE,TRUE
6.087777051,-7.49392051,EPP DJIDOUBAYE 1,TRUE
6.087507219,-7.494445251,EPP DJIDOUBAYE 2,TRUE
6.072402891,-7.539847669,EPP BRUNOKRO,TRUE
6.090722603,-7.496252201,EPI HADICATOU DINIAT,TRUE
6.092837163,-7.489226601,EPP DJIDOUBAYE 3,TRUE
6.088361503,-7.486257798,EPI TADAMOUN,TRUE
6.100903904,-7.492528726,EPP GOULEGUI BEOUE,TRUE
6.101131912,-7.48998939,EPI MIFTAH OULOUM,TRUE
6.101532204,-7.494071875,EPI BODJINA,TRUE
6.123813203,-7.493548778,EPP TIENKOULA,TRUE
6.166970648,-7.494719473,EPP VODEBLY,TRUE
6.142894452,-7.542538959,EPP TIALEVOGO,TRUE
6.176177002,-7.600875598,EPI DAROU ISLAM,TRUE
6.177780347,-7.601874411,EPP ZAGNE AKREKRO 2,TRUE
6.178232477,-7.601855152,EPP ZAGNE AKEKRO,TRUE
6.167702924,-7.621608592,EC BORNON 16,TRUE
6.129551357,-7.616059646,EPP DANIELKRO,TRUE
6.135919551,-7.637782949,EPP BOCANDA,TRUE
6.146389348,-7.647334354,EPP CHC BOHI 2,TRUE
6.161857059,-7.680955092,EPP CHC DAZAHON,TRUE
6.160928551,-7.719298477,EPP CHC BOHI,TRUE
6.185599456,-7.685468904,EPP HELENA VANDEBEECK,TRUE
6.201557554,-7.640705935,EPP PETIT BEOUMI,TRUE
6.228149433,-7.556800594,EPP AKAFOUKRO,TRUE
6.230499249,-7.5628851,EPC MEFTA EL OULOUM 4,TRUE
6.213670544,-7.485523718,EPP ZAGNE 3,TRUE
6.213580889,-7.485795066,EPP ZAGNE 1,TRUE
6.216450317,-7.483600042,EPP ZAGNE 4,TRUE
6.216431401,-7.483310931,EPP ZGNE 2,TRUE
6.208961804,-7.480169613,EPP ZAGNE 5,TRUE
6.208463554,-7.479863808,EPP ZAGNE 5B,TRUE
6.208409789,-7.480035651,EPP ZAGNE 5C,TRUE
6.208464514,-7.480198147,EPP ZAGNE 8,TRUE
6.186736604,-7.44058399,EPP ZAGNE KONANTEKRO,TRUE
6.213719202,-7.474137748,EPC MIFTA EL OLLOUM 1,TRUE
6.209694477,-7.483384439,EPC DAR RACHAD DE ZAGNE,TRUE
6.224361279,-7.482980954,GS DEE LEGNAN,TRUE
6.216233594,-7.4837091,EPP ZAGNE 2B,TRUE
6.214978307,-7.487462809,EPC ST KIZITO,TRUE
6.208246505,-7.489334472,EPP ZAGNE 7,TRUE
6.202497483,-7.493362934,EPP ZAGNE 6,TRUE
6.201506953,-7.494847687,EPC MIFTA EL OLLOUM 2,TRUE
5.873163219,-7.457644276,EPP EMILE KEI BOGUINARD,TRUE
5.87303537,-7.457193097,EPP TAI 3,TRUE
5.873677153,-7.457091993,EPP TAI 2,TRUE
5.876875502,-7.456035628,EPC SABILOUL ISLAM,TRUE
5.879531899,-7.44868634,EPP TAI 4,TRUE
5.879566289,-7.448045066,EPP TAI 5,TRUE
5.87892421,-7.448037815,EPP TAI 6,TRUE
5.835892051,-7.410583179,EPP GOULEAKO 2,TRUE
5.835563394,-7.409482467,EPC TARBIATOU ISLAMI,TRUE
5.824140317,-7.402435416,EPP PAULE OULA,TRUE
5.822668259,-7.399929353,EPC SABIL HOUDA DE PAULE OULA,TRUE
5.764901655,-7.393329543,EPP DIERO OULA 1,TRUE
5.764721308,-7.393510622,EPP DIERO OULA 2,TRUE
5.765746325,-7.391431154,EPC FAROL MAHADI,TRUE
5.765448808,-7.394953158,EPC MADERSA YACOUB OUMAR,TRUE
5.756278516,-7.397886086,EPP PORT GENTIL,TRUE
5.756306969,-7.395141342,EPC YACOUB OUMAR,TRUE
5.74106232,-7.398966897,EPP TIOLE OULA,TRUE
5.741140595,-7.397856202,EPC SABIL NADJA TIOLE OULA,TRUE
5.682869843,-7.392014956,EPP SAKRE 1,TRUE
5.682372789,-7.392124663,EPP SAKRE 2,TRUE
5.685701037,-7.389046122,EPC SABIL AL HOUDA DE SAKRE,TRUE
5.680630681,-7.39001711,EPC DAR EL HADISS DE SAKRE,TRUE
5.655424198,-7.375634956,EPP SIOBLO OULA,TRUE
5.655452731,-7.372908776,EPC DAROU HICMAL DE SIOBLO OULA,TRUE
5.626879005,-7.360577189,EPP ZIRIGLO 1,TRUE
5.627242363,-7.361162882,EPP ZIRIGLO 2,TRUE
5.625311211,-7.3561587,EPC MADERSA SABIL NADJA,TRUE
5.882299633,-7.47513889,EPP DAOBLY,TRUE
5.882210016,-7.475437152,EPP DAVID WOGELSANGER,TRUE
5.879816015,-7.473023417,EPC DAR EL HADISS DE DAOBLY,TRUE
5.881700441,-7.470977311,EPC MIFTAH EL OULOUM,TRUE
5.894807712,-7.478933944,EPP PONAN TAI 1,TRUE
5.895376937,-7.478751772,EPP PONAN TAI 2,TRUE
